dataset,selector,balanced error,features,hypervolume,precision,recall
synthetic_n120_p2000_k10,NSGA-II,"0.458 [0.406, 0.542]","14.500 [9.500, 20.500]","0.805 [0.794, 0.826]","0.000 [0.000, 0.062]","0.000 [0.000, 0.100]"
synthetic_n120_p2000_k10,NSGA-III,"0.462 [0.417, 0.503]","9.000 [6.250, 11.000]","0.789 [0.775, 0.805]","0.061 [0.000, 0.167]","0.100 [0.000, 0.100]"
synthetic_n120_p2000_k10,Random subsets,"0.434 [0.392, 0.500]","22.000 [10.000, 64.000]","0.699 [0.689, 0.711]","0.000 [0.000, 0.026]","0.000 [0.000, 0.100]"
synthetic_n120_p2000_k10,t-test + BH,"0.381 [0.329, 0.458]","100.000 [100.000, 200.000]","0.886 [0.872, 0.903]","0.060 [0.045, 0.090]","0.700 [0.700, 0.900]"
synthetic_n120_p2000_k10,mRMR,"0.374 [0.305, 0.449]","50.000 [35.000, 50.000]","0.890 [0.864, 0.913]","0.140 [0.104, 0.171]","0.550 [0.500, 0.600]"
synthetic_n120_p2000_k10,LASSO path,"0.375 [0.311, 0.429]","54.500 [49.000, 61.750]","0.946 [0.942, 0.949]","0.136 [0.116, 0.162]","0.700 [0.700, 0.800]"
synthetic_n120_p2000_k10,Knockoff+,"0.500 [0.500, 0.500]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
synthetic_n120_p2000_k10,Knockoff,"0.500 [0.500, 0.500]","0.000 [0.000, 1.000]","0.000 [0.000, 0.630]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
synthetic_n120_p2000_k10,Oracle (true support),"0.044 [0.038, 0.083]","10.000 [10.000, 10.000]","0.886 [0.871, 0.901]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
colon,NSGA-II,"0.194 [0.125, 0.312]","8.000 [6.000, 12.000]","0.955 [0.949, 0.972]",-,-
colon,NSGA-III,"0.225 [0.134, 0.309]","7.000 [5.000, 9.000]","0.953 [0.951, 0.971]",-,-
colon,Random subsets,"0.263 [0.188, 0.375]","15.000 [8.250, 26.250]","0.896 [0.885, 0.911]",-,-
colon,t-test + BH,"0.144 [0.062, 0.188]","5.000 [2.000, 5.000]","0.913 [0.891, 0.915]",-,-
colon,mRMR,"0.163 [0.062, 0.216]","5.000 [2.000, 10.000]","0.911 [0.892, 0.915]",-,-
colon,LASSO path,"0.144 [0.062, 0.188]","24.500 [20.250, 30.750]","0.980 [0.963, 0.982]",-,-
colon,Knockoff+,"0.500 [0.500, 0.500]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",-,-
colon,Knockoff,"0.469 [0.250, 0.500]","0.500 [0.000, 1.000]","0.387 [0.000, 0.870]",-,-
