dataset,selector,seed,fold,n_selected,outer_error,outer_balanced_error,majority_baseline,inner_error,hypervolume,front_size,n_evaluations,selection_precision,selection_recall,realised_fdr
synthetic_n120_p2000_k10,NSGA-II,20260914,0,15,0.5,0.5034965034965035,0.47916666666666663,0.17708333333333334,0.8152083333333333,8,872,0.06666666666666667,0.1,0.9333333333333333
synthetic_n120_p2000_k10,NSGA-II,20260914,1,11,0.5416666666666666,0.548951048951049,0.47916666666666663,0.13541666666666666,0.8578125,6,888,0.18181818181818182,0.2,0.8181818181818181
synthetic_n120_p2000_k10,NSGA-II,20260914,2,24,0.6666666666666666,0.6573426573426573,0.47916666666666663,0.15625,0.8306770833333332,14,898,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260914,3,18,0.375,0.375,0.46875,0.17708333333333334,0.8111458333333335,13,893,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260914,4,26,0.4166666666666667,0.4166666666666667,0.46875,0.13541666666666666,0.8477083333333333,11,895,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260915,0,13,0.2916666666666667,0.2972027972027972,0.47916666666666663,0.20833333333333334,0.7836979166666668,7,889,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260915,1,13,0.5833333333333334,0.5874125874125874,0.47916666666666663,0.1875,0.8043229166666666,11,897,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260915,2,6,0.2916666666666667,0.30419580419580416,0.47916666666666663,0.20833333333333334,0.7853125,10,868,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260915,3,35,0.7083333333333334,0.7083333333333333,0.46875,0.15625,0.8296354166666666,11,887,0.02857142857142857,0.1,0.9714285714285714
synthetic_n120_p2000_k10,NSGA-II,20260915,4,14,0.5416666666666666,0.5416666666666667,0.46875,0.20833333333333334,0.78375,6,884,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260916,0,7,0.625,0.6118881118881119,0.47916666666666663,0.19791666666666666,0.7958333333333334,9,884,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260916,1,19,0.4583333333333333,0.465034965034965,0.47916666666666663,0.17708333333333334,0.8153645833333333,15,883,0.05263157894736842,0.1,0.9473684210526316
synthetic_n120_p2000_k10,NSGA-II,20260916,2,14,0.375,0.3881118881118881,0.47916666666666663,0.2604166666666667,0.73328125,8,889,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260916,3,9,0.4166666666666667,0.4166666666666667,0.46875,0.17708333333333334,0.8158854166666666,6,884,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260916,4,8,0.5,0.5,0.46875,0.19791666666666666,0.7960416666666664,7,880,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260917,0,23,0.25,0.26573426573426573,0.47916666666666663,0.13541666666666666,0.8508854166666665,14,894,0.13043478260869565,0.3,0.8695652173913043
synthetic_n120_p2000_k10,NSGA-II,20260917,1,17,0.5416666666666666,0.548951048951049,0.47916666666666663,0.16666666666666666,0.8233333333333334,12,888,0.058823529411764705,0.1,0.9411764705882353
synthetic_n120_p2000_k10,NSGA-II,20260917,2,29,0.5416666666666666,0.5419580419580419,0.47916666666666663,0.1875,0.8040104166666667,14,885,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260917,3,7,0.2916666666666667,0.2916666666666667,0.46875,0.19791666666666666,0.7951041666666667,7,886,0.14285714285714285,0.1,0.8571428571428572
synthetic_n120_p2000_k10,NSGA-II,20260917,4,16,0.4166666666666667,0.41666666666666663,0.46875,0.125,0.8629687500000001,14,888,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260918,0,9,0.4166666666666667,0.4125874125874126,0.47916666666666663,0.1875,0.8055208333333334,6,884,0.1111111111111111,0.1,0.8888888888888888
synthetic_n120_p2000_k10,NSGA-II,20260918,1,15,0.3333333333333333,0.3356643356643357,0.47916666666666663,0.19791666666666666,0.7953645833333333,8,884,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260918,2,5,0.5416666666666666,0.5419580419580419,0.47916666666666663,0.22916666666666666,0.765625,7,888,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260918,3,19,0.4583333333333333,0.45833333333333337,0.46875,0.20833333333333334,0.7822916666666667,11,884,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260918,4,7,0.5,0.5,0.46875,0.19791666666666666,0.7967708333333333,6,886,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260919,0,9,0.4166666666666667,0.42657342657342656,0.47916666666666663,0.17708333333333334,0.8152083333333333,13,891,0.1111111111111111,0.1,0.8888888888888888
synthetic_n120_p2000_k10,NSGA-II,20260919,1,8,0.5,0.5104895104895105,0.47916666666666663,0.23958333333333334,0.7553125,8,880,0.125,0.1,0.875
synthetic_n120_p2000_k10,NSGA-II,20260919,2,24,0.4583333333333333,0.458041958041958,0.47916666666666663,0.21875,0.7728645833333334,6,896,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260919,3,22,0.5,0.5,0.46875,0.1875,0.7984375,12,895,0.045454545454545456,0.1,0.9545454545454546
synthetic_n120_p2000_k10,NSGA-II,20260919,4,15,0.5,0.5,0.46875,0.17708333333333334,0.8143749999999998,5,890,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260920,0,21,0.5416666666666666,0.5419580419580419,0.47916666666666663,0.1875,0.80359375,8,886,0.09523809523809523,0.2,0.9047619047619048
synthetic_n120_p2000_k10,NSGA-II,20260920,1,6,0.5416666666666666,0.5419580419580419,0.47916666666666663,0.16666666666666666,0.8276041666666666,4,889,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260920,2,7,0.3333333333333333,0.32867132867132864,0.47916666666666663,0.1875,0.8054166666666667,11,889,0.14285714285714285,0.1,0.8571428571428572
synthetic_n120_p2000_k10,NSGA-II,20260920,3,21,0.4166666666666667,0.4166666666666667,0.46875,0.15625,0.828489583333333,11,896,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260920,4,18,0.5416666666666666,0.5416666666666666,0.46875,0.19791666666666666,0.7917187499999999,8,894,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260921,0,9,0.5,0.5174825174825175,0.47916666666666663,0.16666666666666666,0.8251041666666667,10,882,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260921,1,11,0.4583333333333333,0.458041958041958,0.47916666666666663,0.16666666666666666,0.8254687499999999,11,884,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260921,2,13,0.375,0.37412587412587417,0.47916666666666663,0.1875,0.80359375,10,887,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260921,3,22,0.5,0.5,0.46875,0.16666666666666666,0.82,15,889,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260921,4,31,0.4166666666666667,0.41666666666666663,0.46875,0.14583333333333334,0.8415104166666667,11,892,0.03225806451612903,0.1,0.967741935483871
synthetic_n120_p2000_k10,NSGA-II,20260922,0,34,0.2916666666666667,0.27622377622377625,0.47916666666666663,0.21875,0.7706249999999998,9,896,0.029411764705882353,0.1,0.9705882352941176
synthetic_n120_p2000_k10,NSGA-II,20260922,1,35,0.4166666666666667,0.40559440559440557,0.47916666666666663,0.1875,0.7997395833333332,9,892,0.02857142857142857,0.1,0.9714285714285714
synthetic_n120_p2000_k10,NSGA-II,20260922,2,12,0.4583333333333333,0.45104895104895104,0.47916666666666663,0.19791666666666666,0.79390625,12,887,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260922,3,11,0.5416666666666666,0.5416666666666667,0.46875,0.15625,0.8349479166666665,10,888,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260922,4,12,0.5833333333333334,0.5833333333333333,0.46875,0.16666666666666666,0.82609375,7,889,0.08333333333333333,0.1,0.9166666666666666
synthetic_n120_p2000_k10,NSGA-II,20260923,0,17,0.2916666666666667,0.2972027972027972,0.47916666666666663,0.16666666666666666,0.8208854166666665,12,894,0.058823529411764705,0.1,0.9411764705882353
synthetic_n120_p2000_k10,NSGA-II,20260923,1,18,0.4166666666666667,0.40559440559440557,0.47916666666666663,0.20833333333333334,0.7827083333333332,7,882,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-II,20260923,2,12,0.5,0.5034965034965035,0.47916666666666663,0.10416666666666667,0.8868229166666666,14,886,0.25,0.3,0.75
synthetic_n120_p2000_k10,NSGA-II,20260923,3,11,0.2916666666666667,0.29166666666666663,0.46875,0.15625,0.8342708333333332,12,879,0.2727272727272727,0.3,0.7272727272727273
synthetic_n120_p2000_k10,NSGA-II,20260923,4,16,0.4583333333333333,0.4583333333333333,0.46875,0.21875,0.7740104166666665,9,894,0.0625,0.1,0.9375
synthetic_n120_p2000_k10,NSGA-III,20260914,0,12,0.375,0.36713286713286714,0.47916666666666663,0.20833333333333334,0.7841145833333333,6,898,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260914,1,8,0.5,0.5104895104895105,0.47916666666666663,0.20833333333333334,0.785,5,890,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260914,2,16,0.5416666666666666,0.5419580419580419,0.47916666666666663,0.17708333333333334,0.8122916666666666,8,895,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260914,3,10,0.375,0.375,0.46875,0.23958333333333334,0.7545833333333333,7,894,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260914,4,11,0.4583333333333333,0.45833333333333337,0.46875,0.1875,0.80578125,7,891,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260915,0,7,0.5,0.49650349650349646,0.47916666666666663,0.25,0.7446875000000002,5,879,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260915,1,10,0.5,0.5104895104895105,0.47916666666666663,0.17708333333333334,0.8152083333333333,6,891,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260915,2,6,0.4583333333333333,0.465034965034965,0.47916666666666663,0.16666666666666666,0.82671875,5,885,0.16666666666666666,0.1,0.8333333333333334
synthetic_n120_p2000_k10,NSGA-III,20260915,3,11,0.4583333333333333,0.45833333333333337,0.46875,0.20833333333333334,0.783125,4,886,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260915,4,6,0.5,0.5,0.46875,0.25,0.7447916666666666,6,896,0.16666666666666666,0.1,0.8333333333333334
synthetic_n120_p2000_k10,NSGA-III,20260916,0,10,0.5,0.48951048951048953,0.47916666666666663,0.20833333333333334,0.7851041666666665,6,891,0.0,0.0,1.0
synthetic_n120_p2000_k10,NSGA-III,20260916,1,6,0.3333333333333333,0.34265734265734266,0.47916666666666663,0.16666666666666666,0.82625,5,898,0.5,0.3,0.5
synthetic_n120_p2000_k10,NSGA-III,20260916,2,6,0.2916666666666667,0.2902097902097902,0.47916666666666663,0.19791666666666666,0.7968229166666666,4,881,0.16666666666666666,0.1,0.8333333333333334
synthetic_n120_p2000_k10,NSGA-III,20260916,3,6,0.4166666666666667,0.41666666666666663,0.46875,0.21875,0.7753645833333332,5,893,0.16666666666666666,0.1,0.8333333333333334
